Commands,Model Parameters,,,,,,,Reflectivity Data from Air,,,Model,Tiles,,,,,Profile,,,Incoherent Sum,,,ctrl-s,χ2,,,,,,,,,,
,,,,,,,,3.806E-02,4.928E-02,2.199E-04,4.73E-02,,1.90E-06,0.00E+00,0.00E+00,3.81,217.32,1.55E-06,,3.25E-02,4.73E-02,6.01E-02,4.68E-02,129.7,,,,,,,,,,
,,,,,,,,3.882E-02,5.429E-02,2.238E-04,5.27E-02,,1.85E-06,0.00E+00,0.00E+00,3.81,221.13,1.55E-06,,3.95E-02,5.27E-02,6.19E-02,5.17E-02,131.4,,,,,,,,,,
,,,,,,,,3.960E-02,5.499E-02,2.165E-04,5.54E-02,,1.83E-06,0.00E+00,0.00E+00,3.81,221.13,1.54E-06,,4.52E-02,5.54E-02,6.00E-02,5.40E-02,20.5,,,,,,,,,,
,,,,,,,,4.039E-02,5.453E-02,2.102E-04,5.48E-02,,1.81E-06,0.00E+00,0.00E+00,3.81,224.95,1.54E-06,,4.86E-02,5.48E-02,5.44E-02,5.32E-02,42.7,,,,,,,,,,
,,,,,,,,4.120E-02,4.927E-02,1.992E-04,5.08E-02,,1.81E-06,0.00E+00,0.00E+00,3.81,224.95,1.54E-06,,4.93E-02,5.08E-02,4.56E-02,4.91E-02,0.6,,,,,,,,,,
,,,,,,,,4.203E-02,4.220E-02,1.750E-04,4.37E-02,,1.81E-06,0.00E+00,0.00E+00,3.81,228.76,1.54E-06,,4.68E-02,4.37E-02,3.50E-02,4.23E-02,0.4,,,,,,,,,,
,,,,,,,,4.287E-02,3.391E-02,1.510E-04,3.46E-02,,1.82E-06,0.00E+00,0.00E+00,3.81,228.76,1.54E-06,,4.14E-02,3.46E-02,2.39E-02,3.36E-02,3.7,,,,,,,,,,
,,,,,,,,4.372E-02,2.501E-02,1.269E-04,2.46E-02,,1.84E-06,0.00E+00,0.00E+00,3.81,232.57,1.54E-06,,3.39E-02,2.46E-02,1.39E-02,2.42E-02,38.4,,,,,,,,,,
,,,,,,,,4.460E-02,1.697E-02,1.057E-04,1.52E-02,,1.88E-06,0.00E+00,0.00E+00,3.81,232.57,1.55E-06,,2.51E-02,1.52E-02,6.38E-03,1.54E-02,210.1,,,,,,,,,,
,,,,,,,,4.549E-02,1.011E-02,7.809E-05,7.60E-03,,1.95E-06,0.00E+00,0.00E+00,3.81,236.39,1.55E-06,,1.64E-02,7.60E-03,1.89E-03,8.36E-03,502.4,,,,,,,,,,
,,,,,,,,4.640E-02,5.529E-03,5.627E-05,2.68E-03,,2.05E-06,0.00E+00,0.00E+00,3.81,236.39,1.58E-06,,8.95E-03,2.68E-03,3.10E-04,3.65E-03,1110.4,,,,,,,,,,
,,,,,,,,4.733E-02,2.739E-03,3.904E-05,4.82E-04,,2.21E-06,0.00E+00,0.00E+00,3.81,240.20,1.58E-06,,3.68E-03,4.82E-04,7.94E-04,1.36E-03,1246.3,,,,,,,,,,
,,,,,,,,4.827E-02,1.648E-03,3.022E-05,4.24E-04,,2.42E-06,0.00E+00,0.00E+00,3.81,240.20,1.63E-06,,8.81E-04,4.24E-04,2.17E-03,9.74E-04,497.3,,,,,,,,,,
,,,,,,,,4.924E-02,1.577E-03,2.898E-05,1.51E-03,,2.68E-06,0.00E+00,0.00E+00,3.81,244.01,1.63E-06,,2.21E-04,1.51E-03,3.35E-03,1.65E-03,6.3,,,,,,,,,,
,,,,,,,,5.022E-02,1.783E-03,3.039E-05,2.71E-03,,2.98E-06,0.00E+00,0.00E+00,3.81,244.01,1.71E-06,,9.24E-04,2.71E-03,3.70E-03,2.51E-03,576.9,,,,,,,,,,
,,,,,,,,5.123E-02,1.837E-03,3.044E-05,3.30E-03,,3.22E-06,0.00E+00,0.00E+00,1.91,247.83,1.71E-06,,2.05E-03,3.30E-03,3.11E-03,2.94E-03,1311.2,,,,,,,,,,
,,,,,,,,5.225E-02,1.634E-03,2.838E-05,3.02E-03,,3.39E-06,0.00E+00,0.00E+00,1.91,247.83,1.85E-06,,2.81E-03,3.02E-03,1.98E-03,2.71E-03,1436.9,,,,,,,,,,
,,,,,,,,5.330E-02,1.187E-03,2.408E-05,2.11E-03,,3.64E-06,0.00E+00,0.00E+00,3.81,251.64,1.85E-06,,2.85E-03,2.11E-03,8.63E-04,1.98E-03,1095.0,,,,,,,,,,
,,,,,,,,5.436E-02,7.811E-04,2.013E-05,1.06E-03,,3.94E-06,0.00E+00,0.00E+00,3.81,251.64,2.04E-06,,2.20E-03,1.06E-03,2.19E-04,1.13E-03,305.8,,,,,,,,,,
,,,,,,,,5.545E-02,4.857E-04,1.628E-05,3.17E-04,,4.20E-06,0.00E+00,0.00E+00,3.81,255.45,2.04E-06,,1.26E-03,3.17E-04,1.53E-04,5.11E-04,2.4,,,,,,,,,,
,,,,,,,,5.656E-02,4.096E-04,1.452E-05,9.98E-05,,4.41E-06,0.00E+00,0.00E+00,3.81,255.45,2.30E-06,,4.62E-04,9.98E-05,4.40E-04,2.75E-04,85.5,,,,,,,,,,
,,,,,,,,5.769E-02,4.980E-04,1.569E-05,2.89E-04,,4.56E-06,0.00E+00,0.00E+00,3.81,259.27,2.30E-06,,9.93E-05,2.89E-04,7.14E-04,3.48E-04,91.5,,,,,,,,,,
,,,,,,,,5.885E-02,5.846E-04,1.644E-05,5.73E-04,,4.67E-06,0.00E+00,0.00E+00,3.81,259.27,2.63E-06,,1.64E-04,5.73E-04,7.22E-04,5.08E-04,21.8,,,,,,,,,,
,,,,,,,,6.002E-02,5.811E-04,1.606E-05,6.70E-04,,4.73E-06,0.00E+00,0.00E+00,3.81,263.08,2.63E-06,,4.21E-04,6.70E-04,4.67E-04,5.57E-04,2.3,,,,,,,,,,
,,,,,,,,6.122E-02,4.533E-04,1.411E-05,5.05E-04,,4.77E-06,0.00E+00,0.00E+00,3.81,263.08,3.01E-06,,5.88E-04,5.05E-04,1.62E-04,4.40E-04,0.9,,,,,,,,,,
,,,,,,,,6.245E-02,2.898E-04,1.135E-05,2.23E-04,,4.79E-06,0.00E+00,0.00E+00,3.81,266.89,3.01E-06,,5.22E-04,2.23E-04,3.37E-05,2.50E-04,12.1,,,,,,,,,,
,,,,,,,,6.370E-02,2.029E-04,9.422E-06,4.17E-05,,4.80E-06,0.00E+00,0.00E+00,3.81,266.89,3.31E-06,,2.87E-04,4.17E-05,1.40E-04,1.28E-04,63.8,,,,,,,,,,
,,,,,,,,6.497E-02,2.164E-04,9.685E-06,7.52E-05,,4.80E-06,0.00E+00,0.00E+00,3.81,268.80,3.31E-06,,7.47E-05,7.52E-05,3.38E-04,1.41E-04,61.1,,,,,,,,,,
,,,,,,,,6.627E-02,2.796E-04,1.075E-05,2.45E-04,,4.80E-06,0.00E+00,0.00E+00,3.81,268.80,3.52E-06,,3.44E-05,2.45E-04,4.23E-04,2.37E-04,15.7,,,,,,,,,,
,,,,,,,,6.759E-02,3.283E-04,1.140E-05,3.69E-04,,4.79E-06,0.00E+00,0.00E+00,3.81,270.71,3.52E-06,,1.57E-04,3.69E-04,3.17E-04,3.03E-04,4.9,,,,,,,,,,
,,,,,,,,6.895E-02,2.871E-04,1.062E-05,3.28E-04,,4.77E-06,0.00E+00,0.00E+00,3.81,270.71,3.83E-06,,3.00E-04,3.28E-04,1.27E-04,2.70E-04,2.5,,,,,,,,,,
,,,,,,,,7.033E-02,2.056E-04,9.065E-06,1.51E-04,,4.73E-06,0.00E+00,0.00E+00,3.81,274.52,3.83E-06,,3.08E-04,1.51E-04,3.35E-05,1.61E-04,24.6,,,,,,,,,,
,,,,,,,,7.173E-02,8.178E-05,4.712E-06,3.05E-05,,4.67E-06,0.00E+00,0.00E+00,3.81,274.52,4.21E-06,,1.94E-04,3.05E-05,9.27E-05,8.70E-05,1.2,,,,,,,,,,
,,,,,,,,7.173E-02,1.234E-04,7.238E-06,3.05E-05,,4.57E-06,0.00E+00,0.00E+00,3.81,278.33,4.21E-06,,1.94E-04,3.05E-05,9.27E-05,8.70E-05,25.4,,,,,,,,,,
,,,,,,,,7.317E-02,1.131E-04,6.941E-06,4.84E-05,,4.41E-06,0.00E+00,0.00E+00,3.81,278.33,4.54E-06,,6.44E-05,4.84E-05,2.04E-04,9.14E-05,9.8,,,,,,,,,,
,,,,,,,,7.317E-02,9.428E-05,4.700E-06,4.84E-05,,4.21E-06,0.00E+00,0.00E+00,3.81,282.15,4.54E-06,,6.44E-05,4.84E-05,2.04E-04,9.14E-05,0.4,,,,,,,,,,
,,,,,,,,7.463E-02,1.567E-04,7.746E-06,1.50E-04,,3.95E-06,0.00E+00,0.00E+00,3.81,282.15,4.80E-06,,2.59E-05,1.50E-04,2.32E-04,1.40E-04,4.9,,,,,,,,,,
,,,,,,,,7.463E-02,1.503E-04,5.220E-06,1.50E-04,,3.66E-06,0.00E+00,0.00E+00,3.81,285.96,4.80E-06,,2.59E-05,1.50E-04,2.32E-04,1.40E-04,4.2,,,,,,,,,,
,,,,,,,,7.612E-02,2.186E-04,6.073E-06,2.10E-04,,3.42E-06,0.00E+00,0.00E+00,1.91,285.96,4.99E-06,,9.74E-05,2.10E-04,1.39E-04,1.64E-04,80.4,,,,,,,,,,
,,,,,,,,7.612E-02,2.222E-04,9.189E-06,2.10E-04,,3.25E-06,0.00E+00,0.00E+00,1.91,289.77,4.99E-06,,9.74E-05,2.10E-04,1.39E-04,1.64E-04,39.9,,,,,,,,,,
,,,,,,,,7.765E-02,1.904E-04,5.417E-06,1.57E-04,,3.01E-06,0.00E+00,0.00E+00,3.81,289.77,5.12E-06,,1.76E-04,1.57E-04,3.45E-05,1.31E-04,120.1,,,,,,,,,,
,,,,,,,,7.765E-02,2.050E-04,9.148E-06,1.57E-04,,2.72E-06,0.00E+00,0.00E+00,3.81,293.59,5.12E-06,,1.76E-04,1.57E-04,3.45E-05,1.31E-04,65.3,,,,,,,,,,
,,,,,,,,7.920E-02,1.537E-04,8.016E-06,5.45E-05,,2.46E-06,0.00E+00,0.00E+00,3.81,293.59,5.20E-06,,1.65E-04,5.45E-05,2.90E-05,7.57E-05,94.7,,,,,,,,,,
,,,,,,,,7.920E-02,1.202E-04,4.391E-06,5.45E-05,,2.26E-06,0.00E+00,0.00E+00,3.81,297.40,5.20E-06,,1.65E-04,5.45E-05,2.90E-05,7.57E-05,102.9,,,,,,,,,,
,,,,,,,,8.078E-02,9.981E-05,6.752E-06,1.65E-05,,2.10E-06,0.00E+00,0.00E+00,3.81,297.40,5.25E-06,,7.90E-05,1.65E-05,1.01E-04,5.32E-05,47.6,,,,,,,,,,
,,,,,,,,8.078E-02,6.531E-05,3.403E-06,1.65E-05,,2.00E-06,0.00E+00,0.00E+00,3.81,301.21,5.25E-06,,7.90E-05,1.65E-05,1.01E-04,5.32E-05,12.7,,,,,,,,,,
,,,,,,,,8.240E-02,5.493E-05,3.077E-06,6.28E-05,,1.94E-06,0.00E+00,0.00E+00,3.81,301.21,5.28E-06,,1.57E-05,6.28E-05,1.39E-04,7.01E-05,24.4,,,,,,,,,,
,,,,,,,,8.240E-02,7.098E-05,5.572E-06,6.28E-05,,1.90E-06,0.00E+00,0.00E+00,3.81,305.03,5.28E-06,,1.57E-05,6.28E-05,1.39E-04,7.01E-05,0.0,,,,,,,,,,
,,,,,,,,8.405E-02,5.875E-05,3.098E-06,1.13E-04,,1.88E-06,0.00E+00,0.00E+00,3.81,305.03,5.29E-06,,3.35E-05,1.13E-04,9.15E-05,8.75E-05,86.3,,,,,,,,,,
,,,,,,,,8.573E-02,6.138E-05,2.957E-06,9.53E-05,,1.87E-06,0.00E+00,0.00E+00,3.81,308.84,5.29E-06,,9.21E-05,9.53E-05,2.04E-05,7.58E-05,23.7,,,,,,,,,,
,,,,,,,,8.744E-02,4.758E-05,2.622E-06,3.22E-05,,1.87E-06,0.00E+00,0.00E+00,3.81,308.84,5.30E-06,,9.80E-05,3.22E-05,2.67E-05,4.73E-05,0.0,,,,,,,,,,
,,,,,,,,8.919E-02,2.948E-05,2.303E-06,1.45E-05,,1.87E-06,0.00E+00,0.00E+00,3.81,312.66,5.30E-06,,4.75E-05,1.45E-05,7.36E-05,3.75E-05,12.2,,,,,,,,,,
,,,,,,,,9.097E-02,3.519E-05,2.218E-06,5.24E-05,,1.88E-06,0.00E+00,0.00E+00,3.81,312.66,5.29E-06,,1.14E-05,5.24E-05,7.34E-05,4.74E-05,30.2,,,,,,,,,,
,,,,,,,,9.279E-02,5.169E-05,2.263E-06,7.18E-05,,1.91E-06,0.00E+00,0.00E+00,3.81,316.47,5.29E-06,,3.14E-05,7.18E-05,2.61E-05,5.03E-05,0.4,,,,,,,,,,
,,,,,,,,9.465E-02,4.845E-05,2.110E-06,3.77E-05,,1.96E-06,0.00E+00,0.00E+00,3.81,316.47,5.28E-06,,6.19E-05,3.77E-05,1.77E-05,3.88E-05,21.1,,,,,,,,,,
,,,,,,,,9.654E-02,3.790E-05,1.876E-06,1.07E-05,,2.04E-06,0.00E+00,0.00E+00,3.81,320.28,5.28E-06,,4.76E-05,1.07E-05,7.04E-05,3.49E-05,2.6,,,,,,,,,,
,,,,,,,,9.847E-02,3.810E-05,1.739E-06,4.25E-05,,2.16E-06,0.00E+00,0.00E+00,3.81,320.28,5.26E-06,,1.35E-05,4.25E-05,9.66E-05,4.88E-05,37.7,,,,,,,,,,
,,,,,,,,1.004E-01,4.840E-05,1.825E-06,8.26E-05,,2.35E-06,0.00E+00,0.00E+00,3.81,324.10,5.26E-06,,2.08E-05,8.26E-05,5.07E-05,5.92E-05,35.0,,,,,,,,,,
,,,,,,,,1.025E-01,5.643E-05,1.809E-06,6.23E-05,,2.60E-06,0.00E+00,0.00E+00,3.81,324.10,5.21E-06,,6.05E-05,6.23E-05,2.11E-05,5.15E-05,7.3,,,,,,,,,,
,,,,,,,,1.045E-01,4.603E-05,1.599E-06,1.95E-05,,2.92E-06,0.00E+00,0.00E+00,3.81,327.91,5.21E-06,,6.56E-05,1.95E-05,8.79E-05,4.81E-05,1.7,,,,,,,,,,
,,,,,,,,1.066E-01,3.934E-05,1.429E-06,4.28E-05,,3.29E-06,0.00E+00,0.00E+00,3.81,327.91,5.13E-06,,2.80E-05,4.28E-05,1.78E-04,7.30E-05,554.8,,,,,,,,,,
,,,,,,,,1.087E-01,5.769E-05,1.555E-06,1.19E-04,,3.58E-06,0.00E+00,0.00E+00,1.91,331.72,5.13E-06,,1.85E-05,1.19E-04,1.74E-04,1.08E-04,1033.6,,,,,,,,,,
,,,,,,,,1.109E-01,8.031E-05,1.770E-06,1.47E-04,,3.79E-06,0.00E+00,0.00E+00,1.91,331.72,5.01E-06,,6.76E-05,1.47E-04,8.76E-05,1.12E-04,328.7,,,,,,,,,,
,,,,,,,,1.131E-01,7.948E-05,1.706E-06,9.41E-05,,4.08E-06,0.00E+00,0.00E+00,3.81,335.54,5.01E-06,,1.11E-04,9.41E-05,1.89E-05,7.95E-05,0.0,,,,,,,,,,
,,,,,,,,1.154E-01,5.627E-05,1.418E-06,2.88E-05,,4.45E-06,0.00E+00,0.00E+00,3.81,335.54,4.83E-06,,9.05E-05,2.88E-05,2.28E-06,3.76E-05,173.8,,,,,,,,,,
,,,,,,,,1.177E-01,3.467E-05,1.181E-06,3.53E-06,,4.77E-06,0.00E+00,0.00E+00,3.81,339.35,4.83E-06,,3.75E-05,3.53E-06,2.72E-06,1.18E-05,374.5,,,,,,,,,,
,,,,,,,,1.200E-01,1.952E-05,9.123E-07,2.31E-06,,5.02E-06,0.00E+00,0.00E+00,3.81,339.35,4.59E-06,,6.70E-06,2.31E-06,1.88E-06,3.30E-06,316.2,,,,,,,,,,
,,,,,,,,1.224E-01,1.283E-05,8.137E-07,2.13E-06,,5.21E-06,0.00E+00,0.00E+00,3.81,343.16,4.59E-06,,2.12E-06,2.13E-06,3.44E-06,2.46E-06,162.4,,,,,,,,,,
,,,,,,,,1.249E-01,1.213E-05,7.601E-07,2.78E-06,,5.33E-06,0.00E+00,0.00E+00,3.81,343.16,4.29E-06,,2.56E-06,2.78E-06,4.39E-06,3.13E-06,140.2,,,,,,,,,,
,,,,,,,,1.274E-01,1.254E-05,7.480E-07,3.99E-06,,5.41E-06,0.00E+00,0.00E+00,3.81,346.98,4.29E-06,,2.62E-06,3.99E-06,4.49E-06,3.77E-06,137.2,,,,,,,,,,
,,,,,,,,1.299E-01,1.156E-05,7.002E-07,4.20E-06,,5.46E-06,0.00E+00,0.00E+00,3.81,346.98,3.93E-06,,3.54E-06,4.20E-06,5.65E-06,4.40E-06,104.5,,,,,,,,,,
,,,,,,,,1.325E-01,1.090E-05,6.690E-07,5.08E-06,,5.49E-06,0.00E+00,0.00E+00,3.81,350.79,3.93E-06,,3.97E-06,5.08E-06,4.47E-06,4.65E-06,87.4,,,,,,,,,,
,,,,,,,,1.352E-01,1.062E-05,7.005E-07,4.56E-06,,5.50E-06,0.00E+00,0.00E+00,3.81,350.79,3.65E-06,,4.64E-06,4.56E-06,3.33E-06,4.27E-06,82.0,,,,,,,,,,
,,,,,,,,1.379E-01,9.625E-06,6.267E-07,3.17E-06,,5.50E-06,0.00E+00,0.00E+00,3.81,352.70,3.65E-06,,4.59E-06,3.17E-06,4.37E-06,3.83E-06,85.6,,,,,,,,,,
,,,,,,,,1.406E-01,7.420E-06,5.806E-07,3.82E-06,,5.50E-06,0.00E+00,0.00E+00,3.81,352.70,3.46E-06,,3.22E-06,3.82E-06,3.49E-06,3.59E-06,43.6,,,,,,,,,,
,,,,,,,,1.435E-01,6.172E-06,5.949E-07,3.62E-06,,5.48E-06,0.00E+00,0.00E+00,3.81,354.60,3.46E-06,,3.31E-06,3.62E-06,2.82E-06,3.34E-06,22.6,,,,,,,,,,
,,,,,,,,1.463E-01,6.444E-06,5.611E-07,2.64E-06,,5.45E-06,0.00E+00,0.00E+00,3.81,354.60,3.17E-06,,3.61E-06,2.64E-06,3.69E-06,3.15E-06,34.6,,,,,,,,,,
,,,,,,,,1.493E-01,4.709E-06,5.367E-07,3.26E-06,,5.40E-06,0.00E+00,0.00E+00,3.81,358.42,3.17E-06,,2.65E-06,3.26E-06,2.91E-06,3.02E-06,9.9,,,,,,,,,,
,,,,,,,,1.522E-01,5.685E-06,5.218E-07,2.99E-06,,5.30E-06,0.00E+00,0.00E+00,3.81,358.42,2.82E-06,,2.82E-06,2.99E-06,2.69E-06,2.87E-06,29.1,,,,,,,,,,
,,,,,,,,1.553E-01,4.225E-06,5.184E-07,2.44E-06,,5.15E-06,0.00E+00,0.00E+00,3.81,362.23,2.82E-06,,2.96E-06,2.44E-06,2.98E-06,2.70E-06,8.6,,,,,,,,,,
,,,,,,,,1.584E-01,3.730E-06,4.882E-07,2.74E-06,,4.92E-06,0.00E+00,0.00E+00,3.81,362.23,2.52E-06,,2.33E-06,2.74E-06,2.27E-06,2.52E-06,6.2,,,,,,,,,,
,,,,,,,,1.616E-01,3.886E-06,4.655E-07,2.26E-06,,4.62E-06,0.00E+00,0.00E+00,3.81,366.04,2.52E-06,,2.45E-06,2.26E-06,2.40E-06,2.34E-06,11.0,,,,,,,,,,
,,,,,,,,1.648E-01,3.346E-06,5.306E-07,2.12E-06,,4.24E-06,0.00E+00,0.00E+00,3.81,366.04,2.27E-06,,2.24E-06,2.12E-06,2.20E-06,2.17E-06,4.9,,,,,,,,,,
,,,,,,,,1.681E-01,2.881E-06,4.829E-07,2.10E-06,,3.80E-06,0.00E+00,0.00E+00,3.81,369.86,2.27E-06,,1.92E-06,2.10E-06,1.61E-06,1.93E-06,3.9,,,,,,,,,,
,,,,,,,,1.714E-01,2.689E-06,4.607E-07,1.64E-06,,3.45E-06,0.00E+00,0.00E+00,1.91,369.86,2.10E-06,,1.94E-06,1.64E-06,1.60E-06,1.71E-06,4.6,,,,,,,,,,
,,,,,,,,1.749E-01,3.619E-06,4.477E-07,1.50E-06,,3.21E-06,0.00E+00,0.00E+00,1.91,373.67,2.10E-06,,1.62E-06,1.50E-06,1.34E-06,1.49E-06,22.6,,,,,,,,,,
,,,,,,,,1.784E-01,3.627E-06,4.212E-07,1.40E-06,,2.85E-06,0.00E+00,0.00E+00,3.81,373.67,1.97E-06,,1.41E-06,1.40E-06,1.11E-06,1.33E-06,29.6,,,,,,,,,,
,,,,,,,,1.819E-01,3.751E-06,4.241E-07,1.15E-06,,2.41E-06,0.00E+00,0.00E+00,3.81,377.48,1.97E-06,,1.32E-06,1.15E-06,2.19E-06,1.45E-06,29.4,,,,,,,,,,
,,,,,,,,1.856E-01,3.354E-06,4.001E-07,1.44E-06,,2.04E-06,0.00E+00,0.00E+00,3.81,377.48,1.90E-06,,1.19E-06,1.44E-06,2.43E-06,1.62E-06,18.7,,,,,,,,,,
,,,,,,,,1.893E-01,2.354E-06,3.998E-07,1.95E-06,,1.73E-06,0.00E+00,0.00E+00,3.81,381.30,1.90E-06,,1.11E-06,1.95E-06,1.33E-06,1.59E-06,3.7,,,,,,,,,,
,,,,,,,,1.931E-01,1.420E-06,3.775E-07,1.27E-06,,1.51E-06,0.00E+00,0.00E+00,3.81,381.30,1.85E-06,,1.57E-06,1.27E-06,1.26E-06,1.34E-06,0.0,,,,,,,,,,
,,,,,,,,1.969E-01,1.596E-06,3.724E-07,1.01E-06,,1.36E-06,0.00E+00,0.00E+00,3.81,385.11,1.85E-06,,1.31E-06,1.01E-06,9.38E-07,1.07E-06,2.0,,,,,,,,,,
,,,,,,,,2.009E-01,1.462E-06,3.680E-07,8.71E-07,,1.26E-06,0.00E+00,0.00E+00,3.81,385.11,1.83E-06,,8.41E-07,8.71E-07,8.73E-07,8.64E-07,2.6,,,,,,,,,,
,,,,,,,,2.049E-01,1.462E-07,3.624E-07,7.35E-07,,1.21E-06,0.00E+00,0.00E+00,3.81,388.92,1.83E-06,,7.94E-07,7.35E-07,7.37E-07,7.51E-07,2.8,,,,,,,,,,
,,,,,,,,2.090E-01,6.878E-07,3.701E-07,6.63E-07,,1.18E-06,0.00E+00,0.00E+00,3.81,388.92,1.81E-06,,6.28E-07,6.63E-07,6.78E-07,6.58E-07,0.0,,,,,,,,,,
